,sen,prob
0,22,0.7470343
1,23,0.908514
2,22,0.8109933
3,23,0.9293752
4,22,0.8575514
5,23,0.9106054
6,6,0.78585786
7,22,0.42158312
8,22,0.79298496
9,23,0.9001216
10,22,0.81488603
11,23,0.86917603
12,4,0.8595718
13,23,0.44161573
14,23,0.43964037
15,1,0.7601139
16,23,0.45441476
17,3,0.8574868
18,23,0.3222883
19,3,0.8887303
20,2,0.31755257
21,3,0.8902371
22,23,0.3014815
23,1,0.66436285
24,20,0.3382452
25,23,0.44408634
26,20,0.4061918
27,23,0.4375665
28,20,0.6331717
29,21,0.38239273
30,20,0.7405158
31,21,0.6122138
32,20,0.7033703
33,21,0.5322163
34,20,0.7478713
35,21,0.7065322
36,20,0.90516543
37,21,0.8928942
38,20,0.9096899
39,21,0.94330335
40,20,0.8794739
41,21,0.31805423
42,21,0.79400295
43,20,0.78985447
44,21,0.81525123
45,20,0.8880826
46,21,0.85209054
47,20,0.90148616
48,21,0.872029
49,20,0.90580386
50,21,0.8830099
51,20,0.9074465
52,21,0.8892282
53,20,0.906853
54,21,0.8925941
55,20,0.9111377
56,21,0.9158408
57,20,0.91365725
58,21,0.95644665
59,20,0.9196809
60,21,0.9793234
61,20,0.92531055
62,21,0.9851075
63,20,0.92525285
64,21,0.98508805
65,20,0.92519194
66,21,0.9850677
67,20,0.92513245
68,21,0.9850508
69,20,0.92507815
70,21,0.9850366
71,20,0.9250283
72,21,0.9850241
73,20,0.9249823
74,21,0.9850071
75,20,0.92491835
76,21,0.98498756
77,0,0.29816872
78,1,0.7691387
79,20,0.67533475
80,21,0.90438336
81,20,0.83575773
82,21,0.93420106
83,20,0.88346744
84,21,0.67531794
85,1,0.5258406
86,0,0.310418
87,1,0.7812175
88,0,0.4027389
89,3,0.7383013
90,23,0.5227211
91,20,0.5617399
92,21,0.4594629
93,20,0.64168006
94,21,0.62358314
95,20,0.68706554
96,21,0.65027475
97,20,0.7451312
98,23,0.30365297
99,3,0.66018176
100,23,0.30442694
101,1,0.6761492
102,0,0.35276085
103,1,0.8288804
104,23,0.38495165
105,3,0.81130904
106,23,0.29863486
107,3,0.8721986
108,2,0.29774246
109,3,0.8775836
110,23,0.59436184
111,23,0.4589565
112,23,0.35565564
113,1,0.756303
114,23,0.52266127
115,20,0.44425425
116,23,0.47552532
117,20,0.43817335
118,21,0.42330033
119,20,0.3489402
120,22,0.5461429
121,23,0.62967026
122,23,0.42028564
123,20,0.6261371
124,21,0.56837475
125,20,0.78720254
126,22,0.50667846
127,23,0.36629868
128,20,0.68730396
129,20,0.31368697
130,22,0.4771912
131,23,0.35537988
132,22,0.5694288
133,20,0.46335962
134,22,0.6653064
135,23,0.35943514
136,20,0.53648096
137,23,0.29041114
138,21,0.3995772
139,20,0.5498937
140,22,0.53611505
141,23,0.32087436
142,23,0.3881566
143,22,0.60698235
144,23,0.4432515
145,20,0.49808186
146,23,0.42976013
147,20,0.60838085
148,21,0.5287089
149,20,0.63833916
150,21,0.560954
151,20,0.6600138
152,22,0.52119046
153,23,0.32793036
154,22,0.6955955
155,23,0.42703512
156,22,0.8189079
157,23,0.5994937
158,22,0.8281721
159,23,0.7699198
160,22,0.84361476
161,23,0.6866647
162,22,0.8620698
163,23,0.7827047
164,22,0.8620263
165,23,0.7552428
166,22,0.87714624
167,23,0.7831874
168,22,0.8859051
169,23,0.82795286
170,22,0.87967575
171,23,0.90555406
172,22,0.8884829
173,23,0.9055465
174,22,0.88846505
175,23,0.90554065
176,23,0.60672736
177,20,0.33044246
178,23,0.47698915
179,20,0.4124592
180,23,0.40136343
181,20,0.48930073
182,21,0.4284154
183,20,0.55113393
184,6,0.9470828
185,22,0.38685882
186,22,0.5718885
187,23,0.4771451
188,22,0.73886466
189,23,0.598689
190,22,0.7792855
191,23,0.7040917
192,22,0.790463
193,23,0.7388184
194,22,0.8152282
195,23,0.67557913
196,22,0.8407307
197,23,0.72328615
198,22,0.8647224
199,23,0.7586807
200,22,0.88084346
201,23,0.7920456
202,22,0.8899476
203,23,0.84034365
204,22,0.8792705
205,23,0.9053485
206,22,0.8880519
207,23,0.90533364
208,22,0.8880317
209,23,0.9053197
210,22,0.88801396
211,23,0.905305
212,22,0.8879991
213,23,0.90529245
214,22,0.88798296
215,23,0.9052827
216,23,0.6025425
217,22,0.88378185
218,23,0.81609285
219,22,0.8849539
220,23,0.8346014
221,22,0.88718396
222,23,0.8333419
223,22,0.88862747
224,23,0.833334
225,22,0.8892565
226,23,0.8337906
227,22,0.8886594
228,23,0.8353891
229,22,0.8893963
230,23,0.83884746
231,22,0.89033574
232,23,0.8493095
233,22,0.8913573
234,23,0.88988775
235,6,0.77218574
236,22,0.6045594
237,23,0.67039055
238,23,0.60378563
239,3,0.8152531
240,6,0.77057445
241,22,0.32609817
242,1,0.42597327
243,22,0.46763292
244,22,0.8025733
245,23,0.77228886
246,22,0.8186307
247,23,0.7985239
248,22,0.81673175
249,23,0.80228436
250,6,0.59964097
251,22,0.38402852
252,22,0.7379818
253,23,0.7756817
254,22,0.7341866
255,23,0.8240455
256,22,0.80104846
257,23,0.8546881
258,22,0.84439284
259,23,0.7741646
260,22,0.8784098
261,23,0.81268233
262,22,0.8751231
263,23,0.88440585
264,22,0.883312
265,23,0.8868846
266,6,0.5437918
267,22,0.5838168
268,22,0.8444126
269,23,0.7860421
270,22,0.8656724
271,23,0.8815766
272,6,0.5552659
273,22,0.5384871
274,22,0.8117992
275,23,0.83913547
276,0,0.3161718
277,22,0.80237466
278,23,0.7159683
279,22,0.86498046
280,23,0.77719223
281,22,0.87566143
282,23,0.7937919
283,22,0.878718
284,23,0.82378364
285,23,0.5606958
286,22,0.8422177
287,23,0.82073927
288,20,0.36622167
289,23,0.467059
290,20,0.39428297
291,23,0.4276619
292,20,0.48246655
293,23,0.3979116
294,20,0.52411723
295,21,0.54620945
296,20,0.5658465
297,21,0.6520643
298,20,0.62433493
299,21,0.75672406
300,20,0.691063
301,21,0.8306216
302,20,0.7616818
303,21,0.87049663
304,20,0.8441414
305,21,0.89533436
306,20,0.8913586
307,21,0.97802424
308,20,0.91028255
309,21,0.97794414
310,22,0.50376517
311,20,0.5112814
312,21,0.6973305
313,20,0.83130556
314,21,0.74779224
315,21,0.5309802
316,22,0.4412336
317,20,0.6023487
318,21,0.54048604
319,23,0.32179767
320,6,0.92288417
321,22,0.29370546
322,6,0.35912073
323,20,0.54273075
324,22,0.33798376
325,23,0.3912439
326,23,0.4933686
327,1,0.61891145
328,23,0.36662513
329,3,0.699345
330,22,0.68877685
331,23,0.57594055
332,22,0.72826874
333,23,0.6720626
334,23,0.3393339
335,3,0.78601974
336,23,0.30063862
337,3,0.8855665
338,2,0.31195757
339,3,0.8987579
340,23,0.368289
341,3,0.24750072
342,3,0.6405349
343,3,0.7427012
344,23,0.49710506
345,3,0.7783876
346,23,0.56642544
347,3,0.7730888
348,23,0.56167173
349,3,0.76715857
350,23,0.5767497
351,23,0.37516147
352,3,0.30367702
353,23,0.78398675
354,1,0.825313
355,3,0.29396406
356,23,0.6294057
357,3,0.38740993
358,23,0.86269164
359,1,0.71948946
360,23,0.5550625
361,1,0.923975
362,23,0.6688728
363,3,0.6804848
364,23,0.6096302
365,3,0.64347684
366,23,0.60161793
367,3,0.74098873
368,23,0.592912
369,3,0.7848341
370,23,0.6266932
371,3,0.76197225
372,23,0.80227643
373,3,0.6806274
374,23,0.6975097
375,3,0.58930874
376,23,0.84697634
377,3,0.38512233
378,23,0.88055056
379,3,0.44251776
380,23,0.8856938
381,3,0.43895957
382,23,0.84169346
383,3,0.43888554
384,23,0.8417156
385,3,0.438838
386,23,0.8417318
387,3,0.43878582
388,23,0.8417507
389,3,0.4386868
390,23,0.84181964
391,3,0.43857828
392,23,0.8907654
393,1,0.70219153
394,23,0.61192423
395,23,0.49606475
396,23,0.7436816
397,23,0.4842122
398,23,0.6193041
399,23,0.40630534
400,23,0.5328851
401,20,0.37899423
402,23,0.41175836
403,20,0.60983884
404,21,0.5771369
405,20,0.782749
406,21,0.7891749
407,20,0.8371635
408,21,0.8871033
409,20,0.8179764
410,21,0.9019168
411,20,0.81116104
412,21,0.92301095
413,20,0.9012804
414,21,0.9721681
415,20,0.9011138
416,21,0.97200114
417,20,0.90097374
418,21,0.9719044
419,20,0.9008595
420,21,0.9716475
421,20,0.9005359
422,21,0.9712912
423,20,0.900222
424,21,0.9710646
425,20,0.8999567
426,21,0.9708946
427,20,0.899715
428,21,0.9707558
429,20,0.899492
430,21,0.97063804
431,20,0.89927346
432,21,0.9705429
433,20,0.89905494
434,21,0.97046137
435,20,0.89889985
436,21,0.97038865
437,20,0.89874834
438,21,0.97028536
439,20,0.89853346
440,21,0.9701432
441,20,0.8983969
442,21,0.97001094
443,20,0.8982811
444,21,0.96991336
445,20,0.8981759
446,21,0.9698313
447,20,0.89807874
448,22,0.48479912
449,23,0.31565294
450,21,0.6350989
451,20,0.770594
452,21,0.78354424
453,22,0.5353311
454,21,0.3558209
455,22,0.70108473
456,23,0.41163388
457,22,0.7695184
458,23,0.6101857
459,20,0.5251924
460,23,0.43250918
461,20,0.55173945
462,21,0.39895794
463,20,0.578363
464,21,0.47129562
465,20,0.59393436
466,21,0.557448
467,20,0.59349746
468,21,0.6074882
469,20,0.6908804
470,21,0.6296404
471,20,0.68068194
472,21,0.5236544
473,20,0.6871111
474,21,0.63038236
475,20,0.7760002
476,22,0.54745173
477,23,0.3059883
478,22,0.65193886
479,23,0.35976338
480,22,0.761411
481,23,0.500865
482,22,0.7738319
483,23,0.61167604
484,23,0.45378643
485,20,0.48866105
486,23,0.3907072
487,20,0.54036164
488,22,0.6188847
489,23,0.39112234
490,22,0.760042
491,23,0.62531364
492,18,0.49876454
493,22,0.708713
494,23,0.6667021
495,20,0.36464268
496,23,0.4680215
497,1,0.83373266
498,23,0.47566363
499,3,0.6241281
500,23,0.36845514
501,3,0.7916124
502,23,0.35235724
503,3,0.8544209
504,23,0.4610755
505,1,0.5309149
506,23,0.5265793
507,23,0.29313204
508,23,0.457603
509,23,0.26891068
510,23,0.41336846
511,20,0.31093347
512,23,0.43432888
513,20,0.2807487
514,21,0.39650702
515,23,0.27030957
516,21,0.49993408
517,20,0.6645578
518,21,0.621695
519,20,0.7354958
520,21,0.72345483
521,20,0.7235333
522,21,0.7478841
523,20,0.71225023
524,21,0.7960183
525,20,0.83729297
526,21,0.8824131
527,20,0.83643466
528,21,0.88123804
529,20,0.8356906
530,21,0.88027537
531,20,0.8349967
532,21,0.8795042
533,20,0.8342918
534,21,0.87888503
535,20,0.83360004
536,21,0.87841487
537,20,0.8330208
538,21,0.8781277
539,20,0.83280927
540,21,0.8777741
541,20,0.83254033
542,21,0.8773752
543,20,0.83233976
544,21,0.8771383
545,20,0.83223355
546,21,0.87689084
547,20,0.83210874
548,21,0.8766405
549,20,0.83198327
550,21,0.8763443
551,20,0.83186376
552,21,0.87613994
553,20,0.8317507
554,21,0.87598205
555,20,0.8316411
556,21,0.87579656
557,20,0.831526
558,21,0.8756174
559,20,0.8314018
560,21,0.8754222
561,20,0.8313095
562,21,0.8752797
563,20,0.8312243
564,21,0.8751423
565,20,0.83113617
566,22,0.48875833
567,23,0.34145927
568,22,0.62816715
569,23,0.37327853
570,23,0.35895327
571,22,0.63844556
572,23,0.45879954
573,22,0.7362284
574,23,0.651905
575,22,0.75858414
576,23,0.7457023
577,22,0.7867822
578,23,0.80123895
579,22,0.80984926
580,23,0.8342334
581,22,0.82521486
582,23,0.8492737
583,20,0.3340695
584,18,0.39679134
585,23,0.61425453
586,1,0.65158546
587,23,0.6339773
588,3,0.6266407
589,23,0.40376857
590,3,0.796386
591,23,0.38876358
592,3,0.8502244
593,23,0.41619548
594,3,0.8560186
595,23,0.4981767
596,3,0.8153771
597,23,0.6244245
598,3,0.6879708
599,23,0.7600931
600,3,0.46951777
601,23,0.8560971
602,23,0.25246254
603,23,0.89902574
604,23,0.25272837
605,23,0.9117214
606,3,0.29851022
607,23,0.8807827
608,3,0.29765546
609,23,0.88100034
610,3,0.2975305
611,23,0.88102776
612,3,0.29742888
613,23,0.881046
614,3,0.2973496
615,23,0.88106716
616,3,0.29727235
617,23,0.9213162
618,1,0.55400884
619,23,0.68295556
620,22,0.8531832
621,23,0.9608974
622,6,0.28566805
623,22,0.5266897
624,22,0.7490235
625,23,0.9415402
626,22,0.7520407
627,23,0.9411606
628,22,0.7156755
629,23,0.9309162
630,22,0.6787132
631,23,0.9001257
632,22,0.6694035
633,23,0.8517226
634,22,0.7122874
635,23,0.8440947
636,22,0.81978154
637,23,0.82365596
638,22,0.82616425
639,23,0.87237793
640,22,0.8592666
641,7,0.34331232
642,23,0.81815493
643,22,0.8150678
644,23,0.8258777
645,22,0.8319104
646,22,0.65536225
647,22,0.85664564
648,23,0.8201821
649,22,0.8407368
650,23,0.8244404
651,22,0.83945435
652,23,0.8196717
653,22,0.83993775
654,23,0.8191328
655,22,0.84201396
656,23,0.82148796
657,22,0.84412766
658,23,0.8296812
659,22,0.83704126
660,23,0.83774024
661,22,0.84545773
662,23,0.8857562
663,22,0.8513556
664,23,0.8784464
665,22,0.8239543
666,23,0.8911481
667,22,0.8467208
668,23,0.8911428
669,22,0.84668946
670,23,0.89113617
671,22,0.8466592
672,23,0.8911287
673,22,0.8466328
674,23,0.89112115
675,22,0.84660786
676,23,0.8911126
677,22,0.8465864
678,23,0.8911044
679,22,0.8465693
680,23,0.8910961
681,22,0.8465562
682,23,0.8910885
683,22,0.84654576
684,23,0.8910798
685,22,0.8465215
686,23,0.8910748
687,22,0.8464975
688,23,0.8910706
689,22,0.846449
690,23,0.89106435
691,22,0.84639746
692,23,0.89106226
693,22,0.8463568
694,23,0.89105695
695,22,0.8463152
696,23,0.8910504
697,22,0.84628195
698,23,0.89104134
699,22,0.8462518
700,23,0.8910309
701,22,0.84621835
702,23,0.89102185
703,22,0.84619313
704,23,0.8910103
705,22,0.8461706
706,23,0.8910009
707,22,0.8461536
708,23,0.89098996
709,22,0.84613085
710,23,0.8909839
711,22,0.8461133
712,23,0.8909769
713,22,0.84609646
714,23,0.89097035
715,22,0.84607893
716,23,0.890965
717,22,0.8460496
718,23,0.8909581
719,22,0.84600896
720,23,0.8909553
721,22,0.8459794
