,event,time_scal
0,0,0.0702025462962963
1,20,0.0702037037037037
2,4,0.0702037037037037
3,6,0.0702037037037037
4,16,0.0702037037037037
38108,22,0.0702037037037037
5,1,0.07021643518518518
38109,23,0.07068287037037037
38110,22,0.07069907407407408
38111,23,0.07075
38112,22,0.07076041666666667
38113,23,0.07083796296296296
6,7,0.07097916666666666
7,6,0.07099884259259259
8,7,0.0713275462962963
9,6,0.07132986111111111
38114,22,0.07135069444444445
38115,23,0.07140277777777777
10,7,0.07149421296296296
11,6,0.07149768518518519
38116,22,0.07154166666666667
12,0,0.07157291666666667
38117,23,0.07158333333333333
38118,22,0.07160300925925926
13,1,0.07166319444444444
38119,23,0.07238425925925926
38120,22,0.07244907407407407
14,0,0.07250694444444444
15,1,0.07257291666666667
16,0,0.07265625
17,1,0.07271527777777778
18,0,0.07280208333333334
19,1,0.07286689814814815
20,0,0.07296527777777778
21,1,0.07303935185185186
22,0,0.07307638888888889
23,1,0.0731400462962963
24,0,0.07318171296296297
25,1,0.07328125
26,0,0.0733425925925926
27,1,0.07348148148148148
28,0,0.0734849537037037
29,1,0.07363773148148148
30,0,0.07382523148148148
31,1,0.07388773148148148
32,0,0.07395023148148148
33,1,0.0740775462962963
34,0,0.07407986111111112
35,1,0.07417476851851852
36,0,0.0742337962962963
37,1,0.07432986111111112
38,0,0.07435763888888888
39,17,0.07437037037037036
40,16,0.07437268518518518
41,17,0.0743738425925926
42,16,0.074375
43,1,0.07441898148148147
44,0,0.07442129629629629
45,17,0.07443171296296296
46,16,0.07443287037037037
47,17,0.07448263888888888
48,16,0.0744837962962963
49,17,0.0744988425925926
50,16,0.07450115740740741
51,17,0.07451967592592593
52,16,0.07452314814814814
53,17,0.07452546296296296
54,16,0.07452777777777778
55,17,0.07454861111111111
56,16,0.07455208333333334
57,17,0.07455324074074074
58,16,0.07455439814814815
59,17,0.07456944444444444
60,16,0.07457291666666667
61,1,0.07457638888888889
62,0,0.0745787037037037
63,17,0.07458912037037037
64,16,0.07459027777777778
